0,1,2,3,4,5,6,7,8
B11921784133,Инновационный on-line атлас лабораторных артефактов в диагностике заболеваний инфекционного и паразитарного происхождения,"Своевременное и точное выявление того или иного патогена имеет огромное значение в проведении правильного этиологического лечения, а соответственно в выздоровлении пациента. Так как имеется ряд трудностей в определениях инфекционных агентов, предлагается подготовить атлас лабораторных артефактов в диагностики заболеваний инфекционного и паразитарного происхождения, который будет включать большинство всевозможных, частых ошибок при диагностике заболеваний. Это во много раз ускорит правильную постановку диагноза, соответственно своевременное лечение. Работа над проектом предполагает несколько этапов. На первом этапе, планируется систематизировать опыт специалистов, задействованных в проекте, а также привлечь к проекту астраханские лаборатории с целью формирования расширенной базы данных. На данном этапе также будут разработаны первые версии атласа, как в бумажном, так и в цифровом виде. На втором этапе будет разработан портал - непосредственная площадка для общения специалистов между собой и общения специалистов с пользователями.",атлас\диагностика\лабораторные артефакты\паразитарные заболевания,e3\e4,04И9\36,34.33.23\39.25.02,341.33.23.05\391.25.02,###
B11947368188,"К паразитофауне рыб бассейна р. Тауй (Амахтонский залив, Охотское море)","Всего у рыб озерно-речной системы Чукча обнаружено 26 видов паразитов (в их числе 3 вида копепод и 23 - гельминтов), относящихся к 20 родам, 19 семействам, 12 отрядам, 6 классам и 4 типам животного царства. Наибольшее количество видов представлено трематодами (11), затем идут цестоды (5), скребни (4), нематоды и копеподы (по 3). Гельминтофауна хариуса и кунджи озерно-речной системы Чукча во многом сходна и, казалось бы, можно сделать вывод о сходстве характера их питания. Учитывая величины показателей зараженности паразитами, а также содержимое желудков этих рыб, можно утверждать, что хариус данной озерно-речной системы является типичным эврифагом, а кунджа - хищником. Результаты исследований гельминтофауны рыб оз. Чукча оставили открытым вопрос об их зараженности дифиллоботриидами и цестодами Cyathocephalus truncatus. Ранее последние были обнаружены у молоди кунджи из ручья Бюк (бассейн оз. Чукча), отловленной в 1983 г., а плероцеркоиды цестод рода Diphyllobothrium, по данным ихтиологических сборов того же года, отмечались у 7,3% выловленных хариусов. Последующие исследования показали, что большинство видов рыб свободны от плероцеркоидов цестод рода Diphyllobothrium. Возможно, такая ситуация с циатоцефалюсами и дифиллоботриидами связана с какими-то изменениями в гидрологии озера (например, падение уровня воды и повышение ее температуры) и, как следствие, значительным сокращением численности промежуточных хозяев этих паразитов.",Охотское море\видовое разнообразие\диагностика\доминирующие виды\инвазивность\паразитофауна\рыбы\хозяева,e3,04И9,34.33.23,341.33.23.09.09,###
B11950199359,Насекомые в процессах биогенной миграции селена: современное состояние проблемы,"Полученные к настоящему моменту данные позволили выявить некоторые тенденции в биоаккумуляции селена насекомыми. Содержание селена, как показал проведенный анализ, зависит от видовой принадлежности насекомого и изменяется в пределах от 55 до 1094 мкг/кг (сырой массы). Рассмотрены различия в содержании селена в насекомых разных трофических групп. Наибольшей биоаккумулирующей способностью обладают зоофаги (среднее значение составило 325 мкг/кг), растительноядные виды (фитофаги, сапрофитофаги) накапливают количества микроэлемента, редко превышающие 250 мкг/кг. И только у некрофагов отмечена средняя концентрация селена, равная 147 мкг/кг. Кроме того, отмечена вероятная возможность накопления микроэлемента в течение сезона. Республика Молдова, Приднепровский государственный университет им. Т.Г.Шевченко, Тирасполь.",видоспецифичность\микроэлементы\накопление\насекомые\пищевая специализация\селен\состав тела,e3,04И9,34.33.19,341.33.19.45.09.65.13,###
B1196460272,_ЁМоделирование процесса естественного образования вертикально-направленных объемных волн в геосреде,"_ЁВ работе рассматривается междисциплинарная проблема, актуальная для метода поиска углеводородов~--- низкочастотного сейсмического зондирования, основанного на изучении резонансных свойств геосреды. Проблема заключается в выявлении процесса естественного образования вертикально-направленных объемных волн в геологической среде",_ЁКазань\_Ёнеоднородная среда\_Ёобъемные волны\_Ёсейсмическое зондирование\Казань гидрогеология\моделирование численное\неоднородная среда\объемные волны\подземные воды методы\сейсмическое зондирование,e8\e4\e5,13Б\08Е,27.35.63\38.61.05,271.35.63\383.61.05.19,###
B11979553126,Когнитивная модель управления информационными рисками автоматизированного рабочего места (АРМ) НЦУКС,"Разработана модель, которая может быть использована специалистом по ИБ НЦУКС для выявления наиболее слабых мест в системе защиты информации, оценки влияния потенциально-существующих угроз на основные процессы АРМ, определения возможного ущерба от действия этих угроз и, в конечном итоге, минимизации этого ущерба путем введения соответствующих контрмер, а также для построения аналогичной модели для ЕИТС НЦУКС в целом",ЦУКС\автоматизированное рабочее место главного специалиста оперативной дежурной смены НЦУКС\информационная безопасность\эффективность управления информационной безопасностью,f4,98,81.93.29,815.93.29,###
B11981620161,Моделирование движения тонкой пленки под действием периодически изменяющегося внешнего поля скоростей,"Рассмотрено численное моделирование движения тонкой пленки на поверхности океана. Построен алгоритм на основе итерационно-интерполяционного метода для моделирования динамики пленки под действием внешнего поля скоростей. Разработан программный комплекс, реализующий данный алгоритм",_Ёдвижения тонкой пленки на поверхности океана\_Ёитерационно-интерполяционный метод численного решения\_Ёматематическое моделирование\динамика океана\загрязнения поверхностные\итерационно-интерполяционный метод\методы\пленки жидкие\поверхностноактивные вещества\слики\тонкая пленка\численное моделирование,f2\e8\e4\e5,16Г\09И\08Е\13Г,27.41.19\30.51.33\37.27.15\38.61.05,271.41.19.17.21\301.51.33.13.17\372.27.15.15\383.61.05.19,###
B1198206675,Нейросетевой супервизор автопилота летательного аппарата,"Рассматривается опыт моделирования динамики летательного аппарата под управлением ""интеллектуального"" автопилота, в котором обеспечивается коррекция закона управления с помощью нейросетевого супервизора. Процесс настройки супервизора выполняется с помощью генетического алгоритма. Приведенные результаты вычислительных экспериментов подтверждают практическую полезность предложенной методики","автопилоты\интеллектуальные ""автопилоты""\летательные аппараты\моделирование\нейросетевой\системы управления полетом\супервизор",e1\f4,81\06Б,28.17.99\73.37.81,282.17.99\733.37.81.33.09,###
B119833051940,"Определение пути апоптоза, индуцируемого рибонуклеазой биназой, в клетках острого миелогенного лейкоза касуми-1","Методом проточной цитометрии на клетках острого миелогенного лейкоза Касуми-1 было показано, что под действием биназы происходит увеличение процента клеток с экспонированным на поверхности цитоплазматической мембраны фосфатидилсерином. При этом снижается митохондриальный потенциал вследствие открытия митохондриальных пор, увеличивается уровень внутриклеточного Ca{2+} и уменьшается уровень активных форм кислорода. Цитометрические исследования также продемонстрировали активацию каспазы-8. С помощью ПЦР в реальном времени была обнаружена активация генов TNF, генов неканонического NF-kB сигнального пути и генов воспалительных каспаз-1 и -4. Полученные данные свидетельствуют о том, что программируемая гибель клеток, вызванная биназой, реализуется в результате комбинированного действия рецепторного и митохондриального апоптических путей с активацией генов неканонического сигнального пути NF-kB и генов воспалительных каспаз-1 и -4. Результаты работы дают существенный вклад в понимание механизма цитотоксичности биназы, что необходимо для повышения эффективности ее токсического действия на раковые клетки","in vitro\апоптоз\биназа\влияние\клетки\лейкоз острый миелобластный\опухоли экспериментальные\острого миелогенного лейкоза, апоптоз\противоопухолевые средства\рибонуклеаза\рибонуклеаза биназа\ферменты\цитотоксические вещества",f7\e3,19О\04Д6\04М1\04Н1\04Н3,61.45.39\76.29.49\76.29.49,611.45.39.19\761.29.49.19.05\761.29.49.55.07.09.03,###
B1201305934,Эффективность применения методов обеззараживания рыбы при поражении ее личинками описторхоза,"В результате трихинеллоскопии выловленных чебака и ельца были обнаружены единичные экземпляры личинок описторхиса. На основе данных результатов провели обеззараживание рыбы основными методами при соблюдении технологической схемы и при ее нарушении. В итоге при несоблюдении схемы обеззараживания, личинки описторхиса остаются жизнеспособными и, следовательно, рыба является опасной для жизнедеятельности человека. На основании проведенных исследований речную рыбу бассейна реки Оби необходимо считать условно годной, поэтому перед употреблением в пищу ее необходимо обезвреживать такими методами как проварка, соление, прожарка и замораживание, соблюдая технологическую схему. Россия, ФГОУ СПО ""Томский сельскохозяйственный техникум"".",паразитарные заболевания\распространение\рыбы\способы обработки\употребление в пищу,e3\e4,04И9\36,34.33.23\39.25.15,341.33.23.13\391.25.15.19.15,###
B12013121168,Эффективность использования современных инсектицидов для защиты семенных посадок картофеля от вредителей в Северо-Западном регионе РФ,"Оценка экономической эффективности защиты картофеля от проволочников способом предпосадочной обработки клубней Круизером проводилась на сорте Удача. На обработанных и не обработанных посадках был получен одинаковый урожай - 265 ц/га. Однако, на участке с использованием Круйзера поврежденные проволочниками клубни отсутствовали. Поскольку обработка клубней проводится одновременно с их посадкой, то затраты на нее складываются только из стоимости доставленного в хозяйство препарата и нормы его расхода. Рентабельность данного способа применения инсектицида только против проволочников превысила 400%. Россия, ГНУ ВИЗР Россельхозакадемия.",вредители овощных культур\инсектициды\картофель\проволочники\регуляция численности\рентабельность,e3,04И9,34.33.19,341.33.19.53.41.07,###
B1201312167,Значение фотопериодических условий на отдельных этапах развития самок Trichogramma embryophagum для диапаузирования их потомков,"Дисперсионный анализ показал достоверность влияния фотопериодических условий во время всех периодов опыта. Самый продолжительный первый период оказывал на долю диапаузирующего потомства самок слабое влияние, а из трех однодневных периодов решающая роль была поделена между предпоследним и последним периодами.",Trichogramma embryophagum (Hym.)\биоритмы\диапауза\потомство\фотопериод\цикл развития,e3,04И9,34.33.19,341.33.19.45.09.55,###
B12016392138,Чувствительность разных штаммов европейского гнильца из неблагополучных пасек к некоторым антибиотикам,Определяли чувствительность выделенных штаммов возбудителей гнильцовых заболеваний пчел к пефлоксацину в сравнении с антибиотиком окситетрациклином,антибиотики\болезни насекомых\возбудители\гнильцовые заболевания\медоносная пчела\чувствительность,e3,04И9,34.33.19,341.33.19.49.15.39.99,###
B12024875215,"Сетчатокрылообразные (Megaloptera, Rhaphidioptera, Neuroptera)","Сборы сетчатокрылообразных насекомых в Академгородке начались еще в середине 1980-х годов, в связи со сборами в светоловушку у поста ГАИ. В 1995 г., после появления определителя сетчатокрылообразных Дальнего Востока России, было начато их определение, а также целенаправленное проведение новых сборов по максимальному выявлению видового состава этой группы насекомых. Составлен обзор Megaloptera, Raphidioptera и Neuroptera Западной Сибири, в который вошли данные по Академгородку, но они были объединены со всеми материалами из окрестностей Новосибирска. Настоящий обзор включает виды, собранные в непосредственных окрестностях Академгородка",Neuroptera\Новосибирская область\видовое разнообразие\диагностика\таксономия\фауна,e3,04И9,34.33.19,341.33.19.29.11.17.09,###
