0,1,2,3,4,5,6,7,8
B11112592753,Изученность паразитических копепод рыб Вьетнама,"В морской фауне паразитических копепод побережья Вьетнама зарегистрировано 39 видов, относящихся к 21 роду, 9 семействам и 2 подотрядам. Копеподами заражены представители 4 отрядов 27 семейств 66 видов рыб. Впервые в водах Вьетнама зарегистрированы Pseudocycnus appendiculatus, Lernanthropinus gibbosus, L. sphyraenae, Lernanthropus francai, L. carangis, L. opisthopteri, L. trifoliatus. Для Pseudocycnus appendiculatus зарегистрирован новый вид хозяина _- Auxis thazard",Copepoda\Вьетнам\видовое разнообразие\диагностика\доминирующие виды\инвазивность\паразитические ракообразные\рыбы\таксономия\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.19.09.09\391.19.25.31,###
B11112592826,Новые сведения о распространении типичных для минтая Theregra chalcogramma слизистых споровиков (Myxosporea) в Сахалино-Курильском районе,Полученные результаты позволили сделать следующие выводы: M. theragra и Z. hildae распространены по всей акватории Охотского моря и эти виды заражают спорами минтая средних и старших возрастных групп. Размеры спор M. theragra увеличиваются с севера на юг,Охотское море\видовое разнообразие\доминирующие виды\инвазивность\миксоспоридии\минтай\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.15.15.13.11\391.19.25.31,###
B11112592834,К изучению ихтиофауны и паразитофауны рыб Красноярского водохранилища,"Полученные материалы по паразитофауне рыб Красноярского водохранилища свидетельствуют о том, что в настоящее время на водохранилище сформировался лимнофильный комплекс паразитофауны с характерными для данного типа водоема заболеваниями: лигулез, диграммоз, дифиллоботриоз, триенофороз и эргазилез",Красноярское водохранилище\видовое разнообразие\доминирующие виды\инвазивность\паразитофауна\рыбы\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.09\391.19.25.31,###
B11112592893,"Миксоспоридии черноморских рыб в эстуарии реки Черная (Севастополь, Крым)","Установлено, что фауна миксоспоридий и микроспоридий рыб в эстуарии р. Черной по видовому составу и показателям зараженности соответствует фауне этих микропаразитов в Черном море, что свидетельствует об адаптированности исследованных видов хозяев и их паразитов к постоянному незначительному опреснению воды",Крым\видовое разнообразие\динамика численности\микроспоридии\миксоспоридии\паразитофауна\рыбы\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.09\391.19.25.31,###
B1115376060X,"К гельминтофауне остромордой лягушки (Rana arvalis, Nilson, 1842) Юго-Западной Якутии","У остромордой лягушки Юго-Западной Якутии паразитирует 8 видов гельминтов _- 5 видов трематод (Diplodiscus subclavatus, Haplometra cylindracea, Opisthioglyphe ranae, Pneumonoeces variegates, Pleurogenoides medians) и 3 вида нематод (Rhobdias bufonis, Oswaldocruzia filiformis, Cosmocerca ornata). Несмотря на то, что гельминтофауна остромордой лягушки, обитающей в Якутии, беднее по сравнению с другими регионами (в Мордовии обнаружено 20 видов в Томской области _- девять), общими для всех являются трематода _- Opisthioglyphe ranae и нематоды _- Rhabdias bufonis и Oswaldocruzia filiformis, что свидетельствует о широком их распространении",Raha arvalis (Amph.)\Якутия\видовое разнообразие\гельминты\доминирующие виды\инвазивность\паразитофауна\хозяева,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.11\391.19.25.31,###
B111888071113,Зараженность скальных ящериц Darevskia caucasica и D. rudis гемогрегаринами Karyolysus sp. в Северной Осетии,"Зараженность D. rudis изучали в 2 относительно изолированных популяциях из Архонского и Бадского ущелий. Все изученные популяции D. caucasica экстенсивно (до 90%) и интенсивно (до 3-4 паразитов в поле зрения) заражены Karyolysus sp. (Apicomplexa, Coccidiida, Adeleidae). Но в разных популяциях морфология кровяных стадий существенно различается особенностями их воздействия на клетку хозяина. Установлено, что D. rudis заражены столь же сильно и той же морфой паразитов, что и совместно с ними обитающие D. caucasica. Это наиболее распространенная форма Karyolysus, описанная как L. lacerate. Выявлены тканевые стадии паразитов на парафиновых срезах внутренних органов ящериц, у которых найдены эритроцитарные гамонты. Более всего поражается эндотелий сосудов легких, затем печени, менее всего почек",Darevskia (Rept.)\Karyolysus (Prot.)\Северная Осетия\грегарины\диагностика\инвазивность\хозяева,e3\e4,04И9\07Д\04И11,34.33.23\34.33.27\39.19.25,341.33.23.15.15.11.13\341.33.27.17.17.33\391.19.25.31,###
B11219494554,Формирование и использование пакетных пчелиных семей в условиях нахчыванской автономной Республики Азербайджана,"В Приаразской равнинных территориях Нахчыванской АР Азербайджана пчелиные семьи развиваются рано _- уже в начале февраля матки начинают откладывать яйца. Ранняя весна и использование вспомогательных семей способствуют быстрому наращиванию силы семей, что позволяет от одной семьи в течение сезона получать 3 отводка. Показано, что от каждой пакетной семьи от 01.05.06, 10.05.06 и 23.05.06 в период основного медосбора было получено 10 кг товарного меда и собран зимний запас корма. Пакеты, полученные из семей 15.06.06, превратились в сильные семьи в середине медосбора, потому и смогли собрать мед только на зиму",Азербайджан\использование\пакетные пчелы\пчеловодство\формирование,e3,04И9,34.33.19,341.33.19.49.15.02,###
B11236712378,Гельминтофауна некоторых видов непромысловых морских рыб полуострова Камчатка,"Проведена инвентаризация и изучение гельминтов непромысловых видов рыб прибрежных вод Камчатки. Это позволит оценить роль этой группы хозяев в существовании паразитарных систем гельминтов, общих с промысловыми видами рыб, а также выявить патогенные для человека и животных виды гельминтов, паразитирующих у этой группы рыб",Камчатка\видовое разнообразие\гельминты\доминирующие виды\инвазивность\паразитофауна\промысловые рыбы,e3\e4,04И9\07Д\36,34.33.23\39.19.25\39.25.15,341.33.23.09.09\391.19.25.31\391.25.15.17.25,###
B1132915X40,Химический АСМ-фишинг белков в сверхнизких концентрациях,"Разработан метод обнаружения белков в растворе в сверхнизких концентрациях. Этот метод заключается в концентрировании молекул белка, распределенных в большом объеме анализируемого раствора, на поверхности АСМ-чипа и их ковалентном связывании в небольшой химически активированной зоне этой поверхности. Регистрация связанных молекул осуществляется при помощи АСМ в режиме счета. Этот метод носит название химического АСМ-фишинга (АСМ-НФ[Хим]), чтобы отличать его от биоспецифического фишинга, так как в случае химического фишинга не требуется использование специфических антител в качестве зондов. Высокая чувствительность такой аналитической системе обусловлена эффективным концентрированием белка и высокой чувствительностью детектора (зонда АСМ) на уровне отдельных молекул белка. Россия, НИИ биомедицинской хим. им. В.Н. Ореховича РАМН. E-mail:shum230988@mail.ru",анализ биомаркеров заболеваний\атомно-силовая микроскопия\белок\обнаружение\протеомика\сверхнизкие концентрации,e3,04Р1,62.99.07,621.99.07.61,###
B11389705130,Апофаллез и россикотремоз _- гельминтозы рыб Волгоградского водохранилища в пределах Саратовской области,"Установлена значительная инвазия рыб в условиях водохранилища, возбудителей аппофалеза и россикотремоза. В настоящее время трематоды A. muehlingi и R. donicum являются одним из ведущих компонентов паразитоценозов Волгоградского водохранилища в пределах Саратовской области. Для них характерен триксенный тип жизненного цикла со сменой в онтогенезе паразитических и свободноживущих стадий. Развитие очага гельминтов обусловлено благоприятными климатическими и гидрологическими условиями, сложившимися в последние годы в Саратовской области. Высокая температура воды и воздуха, высокая инсоляция, обширные мелководные и заросшие площади реки, способствуют увеличению численности паразитических ракообразных за счет увеличения числа генераций и ускорения циклов развития. При этом создается опасность для водоемов, имеющих рыбохозяйственное значение. Т.е. Волгоградское водохранилище является резервуаром гельминтозов рыб, способных приводить к экономическому ущербу в культурном рыбоводстве",Саратовская область\водохранилища\доминирующие виды\инвазивность\паразитофауна\рыбы\трематоды,e3\e4,04И9\07Д\04И4,34.33.23\34.33.33\39.19.25,341.33.23.09.09\341.33.33.29.11.27\391.19.25.31,###
B11389705572,Роль гидрофильных организмов в эпизоотическом процессе гельминтозной инвазии водоплавающих птиц в поозерье северной зоны Республики Беларусь,"В эпизоотическом процессе гельминтозной инвазии водоплавающих  птиц в условиях северной зоны Беларуси принимают участие гидрофильные организмы следующих таксономических групп: пресноводные моллюски, личинки насекомых, амфибии, олигохеты, пиявки, ракообразные. Самым неблагополучным по гельминтозной инвазии водоемом в Северной зоне Беларуси является озеро Ричи Браславского района, наименьшая зараженность гидрофилов личинками птичьих гельминтов отмечена в озере Глодового Поставского района",Беларусь\Республика Беларусь\видовое разнообразие\водоплавающие\водоплавающие виды\гельминты\инвазивность\паразитарные заболевания\промежуточные хозяева,e3\e4,04И9\07Д\04И11,34.33.23\34.33.27\39.19.25,341.33.23.11\341.33.27.19.33.21.15\391.19.25.31,###
B11389705580,Распространение гельминтов диких уток в северной зоне Беларуси,"В Северной зоне Беларуси гельминтофауна диких уток представлена 41 видом, из них трематод _- 13 виов, цестод _- 16 видов, нематод _- 11 видов, акантоцефал _- 1 вид. Среди диких уток отмечались паразитоценозы, состоящие из 2-8 видов гельминтов различных классов",Республика Беларусь\видовое разнообразие\водоплавающие птицы\гельминты\доминирующие виды\инвазивность\паразитофауна,e3\e4,04И9\07Д,34.33.23\39.19.25,341.33.23.09.15\391.19.25.31,###
B11629498754,Экспериментальное определение материального баланса технологии СВЧ-термолиза твердых бытовых отходов,"Основным объектом исследований является печь карбонизации, которая состоит из СВЧ-генератора, соединенного металлическим волноводом и радиопроницаемой мембраной с закрытой камерой термодеструкции, обогреваемой топочными газами от сжигания газообразного топлива (сжиженный пропан-бутан). Масса разовой загрузки ТБО в камеру карбонизации составляет 20_-25__кг (крупность 1...10__мм, влажность 10_-40% масс.). Оптимальное время переработки разовой загрузки отходов в конечный товарный продукт (карбонизат, или углеродное вещество) составляет 10_-12 часов (с учетом ""холодного"" пуска печи и разогрева). В связи с расхождением теоретических расчетов и практических результатов процесса, относящегося к разряду инновационных, номинальная производительность пилотной установки может достигать 50__кг/сутки. Обнаружено, что при комбинации традиционного метода разложения отходов в закрытой камере при температуре 500_-900_0С без доступа воздуха и активации отходов электромагнитным полем частотой 2,45__ГГц общая скорость деструкции отходов сокращается на 40%, материальные затраты на топливо (при обогреве сжиженными углеводородными газами) сокращаются до 70% (расход пропан-бутана в баллонах емкостью 50__л и давлением 1,6__МПа составил 1,25_-1,5__л/час). Суммарное потребление электроэнергии составляет 0,75__кВт~xчас/кг ТБО","СВЧ\материальный баланс\отходы\разложение термическое\твердые бытовые отходы\твердые, бытовые\технология\технология СВЧ-термолиза",e5\f7\f9\f3,10Д\85\19И\ЕЕ,52.45.03\61.01.91\87.53.13,524.45.03.05\611.01.91\873.53.13.13.13,###
B1166750071X,Особенности размещения устройства обнаружения и измерения быстрых переходных процессов в сильных электромагнитных полях,"Показано, что для защиты от эл. поля высоковольтной линии измерительное устройство необходимо поместить в электростатический экран. Воздействие магн. поля на измерительное устройство можно оценить в зависимости от его взаиморасположения с силовым проводом",быстрые переходные процессы\воздействие\измерительные устройства\лаборатории высоких напряжений\размещение\электроизмерительные приборы\электромагнитные поля,e1\f9,32\22Е,44.29.37\90.27.34,441.29.37.33.13.09\901.27.34.73,###
B1167205983X,Определение горизонта на Луне и оценка его достоверности,"Представлено решение задачи об определении горизонта, видимого с поверхности Луны с заданной высоты в указанной точке. Дана оценка его качества (достоверности). Отмечается, что описанный расчетный модуль можно использовать для выбора оптимальных мест посадки лунных модулей, но необходимо учитывать, что близко расположенные высокие узкие объекты ухудшают качество построения горизонта и могут привести к исключению изучаемой базовой точки из числа пригодных для высадки.",Луна\математическое обеспечение\наблюдений обработка\наблюдения с поверхности Луны\определение горизонта\поверхность Луны\расчет мест посадки лунных модулей\спутники планет,e2,51\52,36.39.15\41.51.41,361.39.15.23.19\411.51.41.21,###
B11821216109,"Социально-эпидемиологическая характеристика населения, обратившегося за помощью после укусов иксодовых клещей в Иркутской области в 2011 г.","Проанализирована информация о случаях обращений людей в Центр диагностики и профилактики клещевых инфекций ФГБУ НЦ ПЗСРЧ СО РАМН (Иркутск) по факту укусов иксодовых клещей, произошедшей на территории Иркутской области в 2011 г.",Ixodidae (Acar.)\Иркутская область\переносчики\укусы людей\частота обращений,e3\e4,04И9\36\04Б1,34.33.23\39.25.15,341.33.23.19.05.11.09.07.15\391.25.15.17.25,###
B11823170149,Повышающий преобразователь напряжения постоянного тока,Отмечена потребность в разработке эффективных малогабаритных повышающих преобразователей постоянного тока. Рассмотрена задача синтеза системы управления периодом коммутации с целью стабилизации выходного напряжения. На основе математической модели преобразователя с применением аналитического метода синтеза нелинейных систем получено соотношение для управления. Качество синтезированного управления подтверждено путем моделирования с использованием пакета прикладных программ для решения задач технических вычислений MATLAB,малогабаритные\моделирование\преобразователи постоянного тока\разработка\силовая преобразовательная техника,f9,21Ю,45.37.31,451.37.31.01.05.07,###
B118398912800,Моделирование эффекта Холла в полупроводниковых изотропных пластинах и пленках с подвижными точечными зондами,Предложен метод измерения э.д.с. Холла на полупроводн. пластине с помощью прижимных подвижных металлич. зондов,подвижные металлические зонды\полупроводниковые приборы СВЧ\твердотельные приборы СВЧ\э.д.с. Холла,f5\e1,18Ж\24А,29.35.47\47.45.03,291.35.47.05.99\473.45.03,###
B11845948371,Оценка потенциальной помехоустойчивости сигналов в спутниковых навигационных системах,В статье приведены результаты анализа и расче~J:та потенциальной помехоустойчивости сигналов GPS/ГЛОНАСС при высоком уровне отношения сигнал/шум.,GPS NAVSTAR\ГЛОНАСС\оценка потенциальной помехоустойчивости сигналов\помехоустойчивость\расчет помехоустойчивости\спутниковые РНС\спутниковые навигационные системы,e2\e1,52\24В,36.16.35\47.49.31,361.16.35.15.15\473.49.31.04.11,###
